ipv6.src,ipv6.dst,ipv6.nxt,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.cap_len
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:804::200e,6,48008,443,,,125
2409:4051:28f:a045::76,2409:4051:28f:a045:9895:7c:f6f4:15dd,17,,,53,53048,111
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:811::2003,6,53770,80,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2405:200:1630:1200::312c:b393,6,49934,80,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:811::2003,6,53764,80,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:80c::2002,6,47066,443,,,125
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4009::a,6,51820,443,,,86
2404:6800:4002:811::2003,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,80,53770,,,86
2404:6800:4002:804::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,48008,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:811::2003,6,53764,80,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4009::a,6,51820,443,,,86
2404:6800:4002:811::2003,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,80,53770,,,86
2405:200:1630:1200::312c:b393,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,80,49934,,,86
2404:6800:4002:811::2003,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,80,53764,,,86
2404:6800:4002:80c::2002,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,47066,,,86
2404:6800:4002:80c::2002,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,47066,,,125
2404:6800:4009::a,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,51820,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:80c::2002,6,47066,443,,,86
fe80::a25:25ff:fe1b:466d,ff02::fb,17,,,5353,5353,432
2404:6800:4002:811::2003,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,80,53764,,,86
2404:6800:4009::a,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,51820,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2405:200:1630:1200::312c:b393,6,49934,80,,,86
fe80::ecbe:9457:d5a1:320e,2409:4051:28f:a045::76,58,,,,,86
2409:4051:28f:a045::76,fe80::ecbe:9457:d5a1:320e,58,,,,,78
2409:4051:28f:a045:9895:7c:f6f4:15dd,2409:4051:28f:a045::76,17,,,38946,53,91
2409:4051:28f:a045:9895:7c:f6f4:15dd,2409:4051:28f:a045::76,17,,,57792,53,91
2409:4051:28f:a045:9895:7c:f6f4:15dd,2405:200:1630:1200::312c:b393,6,49956,80,,,86
2405:200:1630:1200::312c:b393,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,80,49934,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2405:200:1630:1200::312c:b393,6,49934,80,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2409:4051:28f:a045::76,17,,,59199,53,93
2409:4051:28f:a045:9895:7c:f6f4:15dd,2409:4051:28f:a045::76,17,,,48774,53,93
2409:4051:28f:a045:9895:7c:f6f4:15dd,2409:4051:28f:a045::76,17,,,46295,53,93
2409:4051:28f:a045:9895:7c:f6f4:15dd,2409:4051:28f:a045::76,17,,,34673,53,95
2409:4051:28f:a045:9895:7c:f6f4:15dd,2409:4051:28f:a045::76,17,,,57122,53,95
fe80::a25:25ff:fe1b:466d,2409:4051:28f:a045:9895:7c:f6f4:15dd,58,,,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,fe80::a25:25ff:fe1b:466d,58,,,,,78
2409:4051:28f:a045::76,2409:4051:28f:a045:9895:7c:f6f4:15dd,17,,,53,38946,107
2409:4051:28f:a045::76,2409:4051:28f:a045:9895:7c:f6f4:15dd,17,,,53,57792,163
2405:200:1630:1200::312c:b393,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,80,49956,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2405:200:1630:1200::312c:b393,6,49956,80,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:804::200e,6,48008,443,,,172
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:80a::200e,6,45214,443,,,94
2409:4051:28f:a045::76,2409:4051:28f:a045:9895:7c:f6f4:15dd,17,,,53,59199,247
2409:4051:28f:a045:9895:7c:f6f4:15dd,2409:4051:28f:a045::76,17,,,46295,53,93
2409:4051:28f:a045:9895:7c:f6f4:15dd,2409:4051:28f:a045::76,17,,,34673,53,95
2409:4051:28f:a045::76,2409:4051:28f:a045:9895:7c:f6f4:15dd,17,,,53,34673,111
2409:4051:28f:a045::76,2409:4051:28f:a045:9895:7c:f6f4:15dd,17,,,53,57122,167
2409:4051:28f:a045:9895:7c:f6f4:15dd;2409:4051:28f:a045::76,2409:4051:28f:a045::76;2409:4051:28f:a045:9895:7c:f6f4:15dd,58;17,,,53,57122,215
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:80a::200e,6,45214,443,,,94
2404:6800:4002:804::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,48008,,,86
2404:6800:4002:804::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,48008,,,275
2404:6800:4002:804::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,48008,,,1294
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:804::200e,6,48008,443,,,86
2404:6800:4002:804::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,48008,,,1294
2404:6800:4002:804::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,48008,,,1294
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:804::200e,6,48008,443,,,86
2404:6800:4002:804::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,48008,,,1294
2404:6800:4002:804::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,48008,,,1294
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:804::200e,6,48008,443,,,86
2404:6800:4002:804::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,48008,,,1294
2404:6800:4002:804::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,48008,,,1294
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:804::200e,6,48008,443,,,86
2404:6800:4002:804::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,48008,,,1294
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:804::200e,6,48008,443,,,86
2404:6800:4002:80a::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,45214,,,94
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:80a::200e,6,45214,443,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:80a::200e,6,45214,443,,,603
2409:4051:28f:a045::76,2409:4051:28f:a045:9895:7c:f6f4:15dd,17,,,53,46295,247
2409:4051:28f:a045:9895:7c:f6f4:15dd,2606:2800:248:1707:10d3:19d0:1ba2:1a23,6,38952,443,,,94
2404:6800:4002:80a::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,45214,,,94
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:80a::200e,6,45214,443,,,86
fe80::a25:25ff:fe1b:466d,fe80::ecbe:9457:d5a1:320e,58,,,,,86
fe80::ecbe:9457:d5a1:320e,fe80::a25:25ff:fe1b:466d,58,,,,,78
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:811::2003,6,53682,80,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:811::2003,6,53684,80,,,86
2404:6800:4002:80a::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,45214,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2606:2800:248:1707:10d3:19d0:1ba2:1a23,6,38952,443,,,94
2404:6800:4002:80a::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,45214,,,1294
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:80a::200e,6,45214,443,,,86
2606:2800:248:1707:10d3:19d0:1ba2:1a23,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,38952,,,94
